;any;not any;restricted any;total vars;unknown calls;total calls\\
rserve_client&0,8870&0,0929&0,0201&1195&0,5188&320\\
chess_db&1,0000&0,0000&0,0000&4&0,5000&2\\
obo_core&0,9964&0,0036&0,0000&274&0,9963&271\\
nan_system_sources&0,7794&0,2020&0,0185&1079&0,3779&524\\
link_grammar_prolog&0,8333&0,1667&0,0000&36&0,5385&13\\
plrand&0,7826&0,2174&0,0000&745&0,5217&184\\
genutils&0,8570&0,1420&0,0010&965&0,5128&351\\
http2_client&0,9099&0,0901&0,0000&1387&0,4543&405\\
markdown&0,9468&0,0333&0,0199&1710&0,4830&412\\
upsh&0,7032&0,2865&0,0102&684&0,2381&357\\
rtchecks&0,8438&0,1531&0,0031&640&0,5290&276\\
plumdrum&0,8706&0,1280&0,0014&711&0,3070&114\\
plcairo&1,0000&0,0000&0,0000&3&&\\
xsd&0,7556&0,2300&0,0144&626&0,3333&366\\
phil&0,6275&0,3665&0,0060&2169&0,1446&657\\
lib&0,7859&0,2049&0,0092&1742&0,3742&986\\
mlu&-1,0000&-1,0000&-1,0000&0&&\\
roman&1,0000&0,0000&0,0000&6&1,0000&1\\
pub_graph&0,7455&0,2536&0,0010&1049&0,3319&464\\
real&0,6719&0,3261&0,0020&506&0,3726&416\\
xlisting&0,7876&0,1804&0,0320&1469&0,4814&835\\
rtrace&0,7876&0,1804&0,0320&1469&0,4814&835\\
plml&0,9088&0,0897&0,0015&1338&0,5311&354\\
ccprism&0,8422&0,1549&0,0029&4126&0,5741&1411
